# Mentuch et al 2008. Brandeker 2nd author. 												
typed ident      	identifier        	Mag B 	Mag V	B-V	EW (mA)	EW err (mA)	Teff (K)	Teff err (K)	spec. type   	2MASS ID	notes	Bib (B ref;V ref)
AO Men                 	V* AO Men                	11.06	9.809	1.251	409	20	4317	12	K4Ve           	2MASS J06182824-7202416	 	2000A&A...355L..27H;2012AcA....62...67K
AU Mic                 	V* AU Mic                	10.05	8.627	1.423	67	20	3841	11	M1VeBa1        	2MASS J20450949-3120266	 	2012AcA....62...67K
HD 358623              	V* AZ Cap                	11.6	10.477	0.978	427	20	4140	13	K7             	2MASS J20560274-1710538	binary	
HD 358623              	V* AZ Cap                	11.6	10.477	0.978	51	35	3350	19	K7             	2MASS J20560274-1710538	binary	
TYC 9077-2489-1        	CD-64 1208               	10.52	9.433	1.087	464	21	3740	19	K5Ve           	2MASS J18453704-6451460	binary	
GJ 3305                	GJ 3305                  	12.04	10.59	1.45	77	20	3840	11	M1.1V          	2MASS J04373746-0229282	binary	
HD 196982A             	NAME AT Mic A            	12.67	10.36	2.31	20	20	3237	10	M4.5Ve         		binary	
HD 196982B             	NAME AT Mic B            	12.64	11.34	1.3	20	21	3244	11	M4.5Ve         		binary	
HD 164249B             	HD 164249B               	0	12.5		75	29	3505	18	M2Ve           	2MASS J18030409-5138561	bad	
HD 181327              	HD 181327                	7.5	7.04	0.46	122	20	6392	11	F6V            	2MASS J19225894-5432170		2000A&A...355L..27H
HD 35850               	V* AF Lep                	6.832	6.295	0.537	146	20	6275	18	F8V(n)k:       	2MASS J05270477-1154033		2000A&A...355L..27H
HIP 10679              	HD 14082B                	8.33	7.74	0.59	172	20	6080	10	G2V            	2MASS J02172472+2844305		1987A&AS...71..413M
HIP 10680              	HD 14082                 	7.49	7	0.49	132	20	6250	10	F5V            	2MASS J02172527+2844423		1987A&AS...71..413M
HIP 112312             	V* WW PsA                	13.627	12.111	1.516	20	20	3340	12	M4IVe          	2MASS J22445794-3315015		2010MNRAS.403.1949K;2012AcA....62...67K
2MASS J22450004-3315258	V* TX PsA                	14.93	13.36	1.57	315	22	3170	14	M5IVe          	2MASS J22450004-3315258		2006A&A...460..695T
HIP 11437              	BD+30 397                	11.3	10.12	1.18	248	20	4310	10	K7V            	2MASS J02272924+3058246		1987A&AS...71..413M
BD+30 397B             	BD+30 397B               	14.05	12.55	1.5	130	20	3620	10	M0             	2MASS J02272804+3058405		1987A&AS...71..413M
HIP 12545              	BD+05 378                	11.58	10.271	1.309	433	23	4205	11	K6Ve           	2MASS J02412589+0559181		2006A&A...460..695T;2012AcA....62...67K
HIP 23309              	CD-57 1054               	11.36	9.977	1.383	336	22	4041	10	M0Ve           	2MASS J05004714-5715255		2000A&A...355L..27H;2012AcA....62...67K
HIP 23418              	LP 476-207               	12.93	11.53	1.4	20	21	3335	11	M3.5V          	2MASS J05015881+0958587	binary	
HIP 23418              	LP 476-207               	12.93	11.53	1.4	20	22	3310	14	M3.5V          	2MASS J05015881+0958587	binary	
PZ Tel                 	V* PZ Tel                	9.22	8.342	0.878	271	20	5537	15	G9IV           	2MASS J18530587-5010499		2000A&A...355L..27H;2012AcA....62...67K
V343 Nor               	HD 139084                	8.78	7.977	0.803	286	20	5520	13	K0V     	2MASS J15385757-5742273		2006A&A...460..695T;2012AcA....62...67K
